@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
74,'2021/03/11 21:38:32:236',5,0.001621,0.000221,-0.007647,0.001174,-0.000869,-0.001336,-0.015527,-0.043251,0.755506,?,?
75,'2021/03/11 21:38:32:337',5,-0.001823,0.001333,-0.007843,-0.00116,0.000433,-0.001453,-0.01565,-0.043133,0.755437,?,?
76,'2021/03/11 21:38:32:439',5,-0.000217,-0.001109,-0.008781,0.00006,-0.001369,0.000962,-0.015605,-0.04332,0.75546,?,?
77,'2021/03/11 21:38:32:540',5,-0.000543,-0.00082,-0.004016,-0.00099,0.000866,0.002144,-0.015622,-0.043223,0.755458,?,?
78,'2021/03/11 21:38:32:642',5,-0.000821,0.000455,-0.007928,0.002452,-0.001184,0.000201,-0.015598,-0.043357,0.755477,?,?
79,'2021/03/11 21:38:32:744',5,-0.000914,0.002439,-0.006498,0.001991,0.008871,-0.000957,-0.015505,-0.04279,0.755395,?,?
80,'2021/03/11 21:38:32:844',5,0.051875,-0.050666,-0.019329,0.055143,0.029649,-0.138108,-0.013938,-0.042218,0.74721,?,?
81,'2021/03/11 21:38:32:946',5,0.031174,-0.03693,-0.008014,-0.002197,0.03162,-0.04063,-0.012287,-0.037992,0.733031,?,?
82,'2021/03/11 21:38:33:049',5,-0.007385,0.043575,0.003406,0.03298,0.196418,-0.063116,-0.005513,-0.030645,0.730567,?,?
83,'2021/03/11 21:38:33:149',5,-0.010068,-0.005226,0.020912,-0.145928,-0.468867,-0.393961,-0.007546,-0.028511,0.709881,?,?
84,'2021/03/11 21:38:33:250',5,-0.011086,0.00851,-0.01291,-0.017543,-0.155237,-0.052068,-0.010212,-0.047742,0.696475,?,?
85,'2021/03/11 21:38:33:352',5,0.011036,0.022462,0.031172,-0.106464,-0.112752,-0.155433,-0.01448,-0.061343,0.688291,?,?
86,'2021/03/11 21:38:33:454',5,-0.009245,0.009003,-0.028255,-0.359281,0.072907,-0.079304,-0.034964,-0.06021,0.675172,?,?
87,'2021/03/11 21:38:33:583',5,0.000768,0.032153,-0.006055,0.116623,0.481908,-0.102427,-0.036183,-0.020635,0.667714,?,?
88,'2021/03/11 21:38:33:680',5,-0.002498,-0.010854,-0.010248,0.145466,0.445646,-0.126863,-0.025383,0.018756,0.654608,?,?
89,'2021/03/11 21:38:33:759',5,-0.002206,-0.018914,-0.020539,-0.223933,0.368927,-0.094497,-0.033828,0.056513,0.645375,?,?
90,'2021/03/11 21:38:33:859',5,0.003813,-0.034011,-0.001283,-0.180807,-0.28488,0.067729,-0.066898,0.061717,0.646468,?,?
91,'2021/03/11 21:38:33:963',5,0.013647,0.035646,-0.048369,0.41127,-0.746807,0.003346,-0.036857,-0.003441,0.649089,?,?
92,'2021/03/11 21:38:34:063',5,0.040019,0.030193,0.020472,0.039812,-0.125608,0.0279,-0.009099,-0.078663,0.649256,?,?
93,'2021/03/11 21:38:34:164',5,-0.017759,-0.023228,-0.000695,-0.707746,0.642725,0.050083,-0.061826,-0.027264,0.651688,?,?
94,'2021/03/11 21:38:34:267',5,0.01135,-0.018032,0.036991,-0.521996,0.544524,-0.110421,-0.126816,0.033049,0.650933,?,?
95,'2021/03/11 21:38:34:379',5,-0.041155,-0.031876,-0.00586,0.508898,-0.210593,-0.252086,-0.123529,0.045269,0.637776,?,?
96,'2021/03/11 21:38:34:469',5,-0.001673,0.051133,-0.022293,-0.360767,0.854567,-0.075834,-0.041255,0.03635,0.604801,?,?
97,'2021/03/11 21:38:34:570',5,-0.028259,-0.000299,-0.077069,-0.504949,0.645094,-0.08354,-0.090986,0.124569,0.602855,?,?
98,'2021/03/11 21:38:34:672',5,-0.041077,-0.009453,-0.019318,0.702631,-1.295534,-0.02821,-0.073132,0.068182,0.599467,?,?
99,'2021/03/11 21:38:34:773',5,0.052481,0.036435,0.029486,-0.668436,-0.056388,0.274416,-0.007938,-0.086588,0.61368,?,?
100,'2021/03/11 21:38:34:875',5,-0.032802,-0.045856,0.013428,-0.535806,0.114719,0.276196,-0.088206,-0.065783,0.635169,?,?
101,'2021/03/11 21:38:42:087',6,-0.003759,-0.000412,0.002134,-0.052078,0.003483,0.003859,-1.552489,0.720244,2.759115,?,?
102,'2021/03/11 21:38:42:186',6,-0.008303,-0.003702,0.006533,0.034594,-0.007803,0.002821,-1.554763,0.82582,2.865041,?,?
103,'2021/03/11 21:38:42:288',6,0.001694,0.002686,-0.004513,-0.004922,0.00351,-0.00526,-1.55333,0.735191,2.774564,?,?
104,'2021/03/11 21:38:42:396',6,-0.001686,-0.000043,0.00177,0.003751,-0.005117,0.003098,-1.553184,0.731152,2.770363,?,?
105,'2021/03/11 21:38:42:491',6,-0.000468,-0.00018,-0.001844,0.009847,-0.011001,0.007827,-1.553131,0.757638,2.797422,?,?
106,'2021/03/11 21:38:42:593',6,0.000092,-0.000186,-0.001034,-0.029653,-0.008949,-0.000096,-1.554382,0.835846,2.876921,?,?
107,'2021/03/11 21:39:25:147',7,-0.002243,-0.00059,-0.012446,0.000365,0.001772,-0.000881,-0.005595,-0.055969,0.325096,?,?
108,'2021/03/11 21:39:25:259',7,-0.000197,0.000158,-0.007259,-0.001199,-0.002023,-0.001036,-0.005625,-0.05571,0.325077,?,?
109,'2021/03/11 21:39:25:355',7,-0.00226,0.002127,-0.009122,0.001527,-0.002047,0.000615,-0.005609,-0.056013,0.325049,?,?
110,'2021/03/11 21:39:25:456',7,0.000153,-0.003206,-0.005912,0.002692,0.003551,-0.003653,-0.005708,-0.055908,0.325019,?,?
111,'2021/03/11 21:39:28:705',8,0.010865,0.003716,0.018795,0.009761,-0.020008,-0.013307,-0.057565,-0.642768,0.245065,?,?
112,'2021/03/11 21:39:28:809',8,0.00008,-0.007906,-0.027056,0.035047,-0.009209,-0.022206,-0.053815,-0.641794,0.241096,?,?
113,'2021/03/11 21:39:28:910',8,-0.012952,0.007805,-0.026222,0.040438,-0.074091,0.019661,-0.054887,-0.642508,0.24253,?,?
114,'2021/03/11 21:39:29:011',8,0.005443,0.011984,-0.014631,0.145011,-0.2326,-0.077591,-0.039097,-0.660603,0.24593,?,?
115,'2021/03/11 21:39:29:112',8,0.004793,-0.021557,0.016029,0.073425,-0.124466,-0.05665,-0.027847,-0.680698,0.242819,?,?
116,'2021/03/11 21:39:29:214',8,-0.010597,-0.019061,0.020402,-0.025624,0.035303,0.027656,-0.023771,-0.687778,0.24214,?,?
117,'2021/03/11 21:39:29:317',8,0.002153,0.009305,0.005256,-0.091478,0.09345,0.001655,-0.027686,-0.682424,0.240134,?,?
118,'2021/03/11 21:39:29:418',8,-0.007335,0.009227,-0.023918,-0.009238,0.043459,-0.023737,-0.030038,-0.675167,0.237145,?,?
119,'2021/03/11 21:39:29:519',8,-0.011639,-0.007436,0.009586,-0.322066,0.096197,0.103426,-0.040895,-0.673518,0.227178,?,?
120,'2021/03/11 21:39:29:623',8,-0.008974,-0.033219,-0.005657,-0.267212,0.024314,0.284351,-0.08583,-0.665801,0.221432,?,?
121,'2021/03/11 21:39:29:722',8,0.001734,-0.002819,-0.023889,0.013848,-0.121738,0.149829,-0.104925,-0.669051,0.231049,?,?
122,'2021/03/11 21:39:29:823',8,0.005374,0.023531,-0.017258,0.040411,-0.115514,-0.02203,-0.104544,-0.678139,0.240279,?,?
123,'2021/03/11 21:39:29:927',8,-0.000905,0.014378,0.001203,0.182862,-0.259018,-0.16535,-0.090298,-0.699064,0.244189,?,?
124,'2021/03/11 21:39:30:032',8,0.003586,0.023798,-0.009305,0.39267,-0.265234,-0.338899,-0.063617,-0.716223,0.240308,?,?
125,'2021/03/11 21:39:30:128',8,-0.009227,-0.003548,0.011322,0.230149,-0.139266,-0.289656,-0.008202,-0.742455,0.229581,?,?
126,'2021/03/11 21:39:30:230',8,-0.010933,-0.030785,-0.001502,0.088391,-0.109945,-0.115743,0.019814,-0.756159,0.224332,?,?
127,'2021/03/11 21:39:30:332',8,-0.001696,-0.017107,0.020643,-0.130828,0.063893,0.101935,0.017303,-0.758579,0.222383,?,?
128,'2021/03/11 21:39:56:324',9,0.000189,0.044255,-0.039398,-0.190528,-0.437762,-0.317794,-0.984487,-1.192481,0.799503,?,?
129,'2021/03/11 21:39:56:419',9,0.024223,-0.024881,0.012678,-0.18836,-0.386609,-0.19597,-0.944503,-1.387257,0.686151,?,?
130,'2021/03/11 21:39:56:523',9,0.023596,-0.022386,-0.002782,-0.184224,-0.28411,0.010258,-0.941087,-1.423413,0.666352,?,?
131,'2021/03/11 21:39:56:623',9,0.060443,-0.03106,0.104801,0.430538,1.222118,0.288067,-0.972348,-1.339372,0.660808,?,?
132,'2021/03/11 21:39:56:726',9,0.024178,-0.07677,0.005348,0.574485,0.914381,0.1781,-0.975325,-1.282353,0.693034,?,?
133,'2021/03/11 21:39:56:824',9,0.00487,-0.024241,0.04145,0.461747,1.083313,0.160809,-0.941931,-1.0222,0.837613,?,?
134,'2021/03/11 21:39:56:932',9,0.00487,-0.024241,0.04145,0.461747,1.083313,0.160809,-0.941931,-1.0222,0.837613,?,?
135,'2021/03/11 21:39:57:027',9,-0.044962,0.090877,-0.026727,0.277098,0.196685,-0.28261,-0.885602,-0.809099,0.947214,?,?
136,'2021/03/11 21:39:57:128',9,-0.044962,0.090877,-0.026727,0.277098,0.196685,-0.28261,-0.885602,-0.809099,0.947214,?,?
137,'2021/03/11 21:39:57:232',9,-0.007882,0.012458,-0.014145,-0.486917,-0.859879,-0.248721,-0.832796,-0.904647,0.910316,?,?
138,'2021/03/11 21:39:57:331',9,0.072351,0.117325,0.045952,0.29492,-0.944514,-1.421093,-0.84236,-1.08336,0.82372,?,?
139,'2021/03/11 21:39:57:438',9,0.014405,-0.0298,-0.062092,0.144339,-1.115562,-1.140207,-0.801585,-1.127365,0.806744,?,?
140,'2021/03/11 21:39:57:537',9,0.001327,-0.000158,0.104771,-0.541357,-0.458916,0.577477,-0.781745,-1.352086,0.699816,?,?
141,'2021/03/11 21:39:57:637',9,0.001327,-0.000158,0.104771,-0.541357,-0.458916,0.577477,-0.781745,-1.352086,0.699816,?,?
142,'2021/03/11 21:39:57:738',9,-0.030074,-0.041692,-0.01272,-0.097884,0.268535,1.038854,-0.918208,-1.35356,0.673594,?,?
143,'2021/03/11 21:39:57:843',9,-0.030074,-0.041692,-0.01272,-0.097884,0.268535,1.038854,-0.918208,-1.35356,0.673594,?,?
144,'2021/03/11 21:39:57:955',9,0.003759,0.050687,-0.015464,-0.114022,-0.191814,0.402045,-1.01418,-1.348971,0.682947,?,?
145,'2021/03/11 21:39:58:043',9,0.00336,0.000376,-0.01621,-0.235364,-0.149434,0.47422,-1.081698,-1.397057,0.659366,?,?
146,'2021/03/11 21:39:58:145',9,0.031658,-0.014038,0.008208,-0.192799,-0.053703,0.448294,-1.096674,-1.408901,0.649504,?,?
147,'2021/03/11 21:39:58:249',9,0.042482,-0.000673,0.027457,0.092388,0.44139,0.044789,-1.166215,-1.303069,0.713112,?,?
148,'2021/03/11 21:39:58:350',9,0.042482,-0.000673,0.027457,0.092388,0.44139,0.044789,-1.166215,-1.303069,0.713112,?,?
149,'2021/03/11 21:39:58:451',9,-0.009494,-0.013457,-0.023814,0.384308,0.343133,-0.21934,-1.092976,-1.106334,0.842447,?,?
150,'2021/03/11 21:40:20:595',10,0.016752,-0.008936,0.015556,-0.357845,-0.002983,-0.025535,-1.378785,0.741208,2.869476,?,?
151,'2021/03/11 21:40:20:698',10,-0.000181,-0.035719,-0.000048,-0.169007,0.046864,-0.03302,-1.399682,0.81943,2.945019,?,?
152,'2021/03/11 21:40:20:797',10,0.000852,0.000123,-0.000892,-0.046338,0.05797,-0.017862,-1.403402,0.844987,2.966327,?,?
153,'2021/03/11 21:40:20:898',10,-0.006658,0.013209,-0.003327,-0.303514,0.046308,0.027531,-1.418788,0.930221,3.046948,?,?
154,'2021/03/11 21:40:20:999',10,0.018783,-0.018055,-0.01855,-0.240327,0.038829,-0.127974,-1.435741,1.047686,-3.123835,?,?
155,'2021/03/11 21:40:21:101',10,0.015247,0.019344,0.012827,-0.328049,0.149817,0.055739,-1.447973,1.238053,-2.942941,?,?
156,'2021/03/11 21:40:21:202',10,0.008486,0.021444,-0.015463,-0.306615,0.130361,-0.176177,-1.461593,1.524495,-2.668501,?,?
157,'2021/03/11 21:40:21:304',10,-0.0096,-0.040648,0.023746,0.144057,-0.08246,-0.054713,-1.475222,1.674879,-2.520619,?,?
158,'2021/03/11 21:40:21:409',10,-0.007599,-0.008078,-0.008242,0.070506,-0.055521,0.069582,-1.471069,1.586447,-2.605774,?,?
159,'2021/03/11 21:40:21:508',10,-0.01884,-0.015737,-0.006517,0.024303,-0.115029,0.315572,-1.461554,1.551637,-2.631937,?,?
160,'2021/03/11 21:40:21:610',10,0.04241,0.015628,0.021763,0.109364,0.04016,0.198518,-1.421068,1.537929,-2.648379,?,?
161,'2021/03/11 21:40:21:712',10,0.026592,-0.016969,0.015779,0.2386,0.068443,0.172954,-1.399876,1.478256,-2.71461,?,?
162,'2021/03/11 21:40:21:811',10,-0.006851,0.008383,0.00341,0.127471,0.047627,-0.03752,-1.391005,1.400555,-2.797681,?,?
163,'2021/03/11 21:40:21:924',10,-0.014122,0.028428,-0.002704,0.092638,-0.021994,-0.057939,-1.387229,1.377264,-2.823662,?,?
164,'2021/03/11 21:40:22:015',10,-0.001044,-0.008066,-0.006621,0.098438,-0.056989,-0.031002,-1.39567,1.307657,-2.889169,?,?
165,'2021/03/11 21:40:22:116',10,0.014549,-0.016634,0.003968,0.200301,-0.057055,-0.075073,-1.398898,1.1858,-3.004339,?,?
166,'2021/03/11 21:40:22:217',10,0.005527,0.016129,0.001169,0.253624,-0.100513,-0.190451,-1.397554,1.100561,-3.089112,?,?
167,'2021/03/11 21:40:22:319',10,-0.00042,0.01946,-0.010862,0.073413,-0.025032,0.032453,-1.39376,1.03351,3.128025,?,?
168,'2021/03/11 21:57:17:745',11,0.004978,0.001906,-0.077527,0.005833,-0.478476,-0.001896,-0.018801,-0.062326,-0.00451,?,?
169,'2021/03/11 21:57:17:847',11,0.025032,-0.003027,-0.034829,0.000969,-1.330936,-0.002194,-0.018562,-0.185427,-0.004791,?,?
170,'2021/03/11 21:57:17:950',11,0.047509,-0.000153,-0.08815,0.019853,-1.896838,-0.018689,-0.018068,-0.331865,-0.005046,?,?
171,'2021/03/11 21:57:18:050',11,0.055129,0.005066,-0.041251,0.134035,-2.048763,-0.139645,-0.01268,-0.521725,-0.012839,?,?
172,'2021/03/11 21:57:18:153',11,0.008731,0.020944,-0.00244,0.194772,-1.965416,-0.176348,0.008706,-0.722019,-0.01412,?,?
173,'2021/03/11 21:57:18:264',11,0.058778,-0.002598,0.03811,-0.213585,-2.150335,-0.401914,0.043375,-1.00046,-0.04572,?,?
174,'2021/03/11 21:57:18:354',11,0.035493,-0.021018,0.021843,0.032844,-1.342738,-0.069574,0.055228,-1.166752,-0.066409,?,?
175,'2021/03/11 21:57:18:456',11,0.013443,-0.009786,0.037879,0.032631,-0.841032,-0.017986,0.058424,-1.269192,-0.061477,?,?
176,'2021/03/11 21:57:18:556',11,-0.001601,0.001278,0.014134,0.225453,-0.380637,0.048226,0.059112,-1.317565,-0.049823,?,?
177,'2021/03/11 21:57:18:658',11,0.003994,0.00816,0.050757,0.285684,-0.353901,0.071504,0.060046,-1.38186,-0.007233,?,?
178,'2021/03/11 21:57:18:760',11,0.002427,0.027942,0.048469,0.282088,0.001548,0.033632,0.061031,-1.40781,0.027526,?,?
179,'2021/03/11 21:57:18:861',11,0.013074,-0.020389,0.053517,0.050355,0.972983,0.089675,0.057371,-1.356229,0.022087,?,?
180,'2021/03/11 21:57:18:963',11,-0.010292,-0.008203,-0.047593,-0.093287,0.497073,0.06692,0.051359,-1.29603,0.03476,?,?
181,'2021/03/11 21:57:19:064',11,-0.043893,0.014934,-0.077026,0.064423,0.216301,0.143825,0.034289,-1.27009,0.03548,?,?
182,'2021/03/11 21:57:19:166',11,-0.01459,0.013152,-0.065776,0.031697,0.023962,0.013938,0.030583,-1.259541,0.039669,?,?
183,'2021/03/11 21:57:19:268',11,-0.016975,-0.00797,-0.043234,0.082605,-0.393808,0.042397,0.028182,-1.27284,0.047318,?,?
184,'2021/03/11 21:57:19:369',11,0.026512,0.072858,0.006818,0.167562,-0.405781,0.033621,0.027436,-1.329953,0.054138,?,?
185,'2021/03/11 21:57:19:470',11,-0.008217,0.061073,-0.03953,0.071786,-0.258104,-0.014775,0.022943,-1.359199,0.066138,?,?
186,'2021/03/11 21:57:19:572',11,0.037066,-0.015391,0.004258,0.445671,0.636671,0.12113,0.024574,-1.355822,0.083397,?,?
187,'2021/03/11 21:57:19:673',11,-0.002338,0.014467,-0.051375,0.529615,0.130913,0.14471,0.021381,-1.302433,0.139916,?,?
188,'2021/03/11 21:57:19:775',11,-0.022622,0.012261,-0.031489,0.474048,-0.277284,0.13845,0.020625,-1.30729,0.190384,?,?
189,'2021/03/11 21:57:19:876',11,0.036619,0.00161,0.028346,-0.111792,-0.491699,0.285298,0.01104,-1.349566,0.236015,?,?
190,'2021/03/11 21:57:19:978',11,0.037461,-0.071171,0.000369,-0.03349,-0.578702,0.004087,-0.014928,-1.386085,0.224476,?,?
191,'2021/03/11 21:57:20:079',11,0.008116,-0.006873,-0.054242,-0.001757,-0.449278,0.005625,-0.014976,-1.412553,0.225104,?,?
192,'2021/03/11 21:57:20:181',11,0.008044,-0.004903,-0.073722,0.002758,-1.087776,0.001725,-0.015813,-1.479539,0.224878,?,?
193,'2021/03/11 21:57:20:289',11,0.010204,-0.007196,-0.073033,-0.000908,-1.671558,0.014563,-0.015802,-1.659919,0.224838,?,?
194,'2021/03/11 21:57:20:385',11,0.009743,0.000975,0.11049,0.001608,-0.629158,0.006542,-0.017977,-1.783801,0.224083,?,?
195,'2021/03/11 21:57:20:485',11,0.016325,0.000101,0.118934,0.0009,1.024169,-0.013001,-0.017783,-1.766027,0.224012,?,?
196,'2021/03/11 21:57:20:586',11,0.025636,-0.012213,0.062513,-0.034449,2.03538,0.006675,-0.015433,-1.613282,0.224088,?,?
197,'2021/03/11 21:57:20:688',11,0.033575,-0.001358,0.005395,-0.005857,2.458148,0.004304,-0.016236,-1.326921,0.223643,?,?
198,'2021/03/11 21:57:20:790',11,0.005401,0.001525,0.065874,0.005915,2.650704,0.010052,-0.018373,-1.09138,0.223517,?,?
199,'2021/03/11 21:57:35:405',12,0.002991,-0.000278,-0.009456,-0.016559,-0.075359,0.005644,-0.017383,-0.048428,0.006542,?,?
200,'2021/03/11 21:57:35:436',12,0.009222,0.004817,-0.045891,-0.000935,-0.302823,-0.001795,-0.017783,-0.053033,0.006583,?,?
201,'2021/03/11 21:57:35:469',12,0.022349,0.01126,-0.16747,-0.006234,-0.991274,-0.013475,-0.01758,-0.07209,0.006245,?,?
202,'2021/03/11 21:57:35:498',12,0.041169,0.000637,-0.110433,-0.008328,-1.511608,-0.02036,-0.017781,-0.110825,0.005682,?,?
203,'2021/03/11 21:57:35:532',12,0.044948,0.002283,-0.068378,-0.008709,-1.782301,-0.030419,-0.017875,-0.161412,0.004707,?,?
204,'2021/03/11 21:57:35:562',12,0.040913,0.001434,-0.006494,-0.007037,-1.811633,-0.012845,-0.017945,-0.2253,0.00415,?,?
205,'2021/03/11 21:57:35:596',12,0.040443,0.00351,-0.044989,-0.00328,-1.930619,-0.000392,-0.018052,-0.281591,0.004092,?,?
206,'2021/03/11 21:57:35:630',12,0.039917,0.000522,-0.004471,0.000296,-1.928036,-0.001144,-0.018049,-0.340197,0.003978,?,?
207,'2021/03/11 21:57:35:657',12,0.035265,0.000277,0.012035,0.001959,-1.830613,-0.003805,-0.018019,-0.397174,0.003914,?,?
208,'2021/03/11 21:57:35:689',12,0.032608,-0.003568,0.01903,0.002772,-1.694307,0.003527,-0.017836,-0.450671,0.003872,?,?
209,'2021/03/11 21:57:35:717',12,0.037784,-0.0015,-0.011385,0.008509,-1.615431,-0.000921,-0.017736,-0.50904,0.004146,?,?
