@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2021/03/11 15:14:48:261',2,-0.006197,0.035967,-0.007612,-0.005827,0.002715,-0.14013,-0.008284,-0.068934,-1.537119,?,?,?,?,?
2,'2021/03/11 15:14:48:297',2,0.002581,-0.004195,-0.004732,-0.009747,-0.00075,-0.131572,-0.008193,-0.068999,-1.542543,?,?,?,?,?
3,'2021/03/11 15:14:48:338',2,-0.005387,0.001339,-0.007759,-0.004029,0.003233,-0.101455,-0.008213,-0.069073,-1.545981,?,?,?,?,?
4,'2021/03/11 15:14:48:369',2,-0.001097,-0.000495,-0.006319,-0.005988,0.000694,-0.089273,-0.008948,-0.06912,-1.55008,?,?,?,?,?
5,'2021/03/11 15:14:48:407',2,-0.001128,-0.004544,-0.005081,0.001785,0.004145,0.003416,-0.008374,-0.068952,-1.550966,?,?,?,?,?
6,'2021/03/11 15:14:48:440',2,-0.001727,-0.002245,-0.005309,-0.001915,0.006999,0.045057,-0.008562,-0.068901,-1.550402,?,?,?,?,?
7,'2021/03/11 15:14:48:476',2,-0.037958,-0.026466,-0.004319,0.009311,-0.009755,0.211695,-0.008186,-0.068758,-1.545686,?,?,?,?,?
8,'2021/03/11 15:14:48:515',2,-0.004903,-0.009409,-0.005754,0.012846,-0.007031,0.267074,-0.008356,-0.068976,-1.53732,?,?,?,?,?
9,'2021/03/11 15:14:48:547',2,0.007342,0.022326,-0.006398,0.007725,-0.004309,0.153509,-0.007749,-0.069304,-1.529521,?,?,?,?,?
10,'2021/03/11 15:14:48:582',2,0.008767,0.011789,-0.0077,0.005822,0.001437,0.070865,-0.007376,-0.069861,-1.525776,?,?,?,?,?
11,'2021/03/11 15:14:48:619',2,0.008833,0.013247,-0.007101,0.001803,-0.005214,-0.002791,-0.007368,-0.069805,-1.524969,?,?,?,?,?
12,'2021/03/11 15:14:48:659',2,0.003509,0.00536,-0.007806,0.000352,-0.001528,-0.022073,-0.008053,-0.069547,-1.52539,?,?,?,?,?
13,'2021/03/11 15:14:48:690',2,0.001919,0.024002,-0.004392,-0.008436,-0.001763,-0.13969,-0.008515,-0.06933,-1.527635,?,?,?,?,?
14,'2021/03/11 15:14:48:726',2,-0.032847,0.032501,-0.004876,-0.01165,0.005812,-0.226508,-0.008591,-0.069048,-1.533774,?,?,?,?,?
15,'2021/03/11 15:14:48:765',2,0.002938,0.028958,-0.00599,-0.010807,0.002069,-0.285017,-0.008502,-0.068837,-1.543256,?,?,?,?,?
16,'2021/03/11 15:14:48:798',2,0.000476,-0.043588,-0.007528,-0.007803,0.001626,-0.164166,-0.009194,-0.068694,-1.551367,?,?,?,?,?
17,'2021/03/11 15:14:48:832',2,-0.001203,-0.018473,-0.004527,-0.004363,-0.000467,-0.070548,-0.010004,-0.069107,-1.555455,?,?,?,?,?
18,'2021/03/11 15:14:48:869',2,-0.000628,-0.012186,-0.003836,0.002679,0.005594,0.00859,-0.009989,-0.069041,-1.556096,?,?,?,?,?
19,'2021/03/11 15:14:48:904',2,0.000592,0.001633,-0.008859,0.002353,0.00692,0.005394,-0.008835,-0.068795,-1.555871,?,?,?,?,?
20,'2021/03/11 15:15:04:261',3,-0.008955,0.006502,-0.007501,-0.006906,-0.011202,-0.168815,-0.003935,-0.008028,0.7293,?,?,?,?,?
21,'2021/03/11 15:15:04:301',3,0.010549,-0.002192,-0.006151,-0.00281,-0.006971,-0.09249,-0.003962,-0.008962,0.722831,?,?,?,?,?
22,'2021/03/11 15:15:04:336',3,-0.002261,-0.001473,-0.008882,0.000691,-0.000096,-0.005359,-0.003975,-0.008833,0.722224,?,?,?,?,?
23,'2021/03/11 15:15:04:369',3,0.005303,-0.0161,-0.004843,-0.016279,-0.052741,-0.146054,-0.004244,-0.009225,0.721132,?,?,?,?,?
24,'2021/03/11 15:15:04:407',3,0.011953,0.019784,-0.005692,-0.000507,-0.00489,0.004911,-0.00434,-0.010214,0.718081,?,?,?,?,?
25,'2021/03/11 15:15:04:444',3,0.003321,-0.000136,-0.007004,-0.003913,-0.011821,0.013061,-0.004317,-0.010218,0.71843,?,?,?,?,?
26,'2021/03/11 15:15:04:476',3,0.005088,0.004439,-0.006711,-0.001841,-0.036986,0.15102,-0.004106,-0.011405,0.719592,?,?,?,?,?
27,'2021/03/11 15:15:04:514',3,-0.027077,0.005452,-0.008426,0.005531,-0.016557,0.343761,-0.004466,-0.011787,0.730607,?,?,?,?,?
28,'2021/03/11 15:15:04:548',3,0.003853,-0.050804,-0.005366,0.009304,-0.035046,0.59239,-0.004371,-0.012429,0.746327,?,?,?,?,?
29,'2021/03/11 15:15:04:590',3,0.003087,0.034842,-0.008377,0.012554,-0.022471,0.592008,-0.003839,-0.01296,0.767623,?,?,?,?,?
30,'2021/03/11 15:15:04:618',3,-0.010329,-0.010534,-0.005524,0.007776,-0.037913,0.434315,-0.003744,-0.014117,0.78552,?,?,?,?,?
31,'2021/03/11 15:15:04:654',3,0.016773,-0.002656,-0.003603,0.00931,-0.022012,0.469386,-0.003724,-0.015293,0.800943,?,?,?,?,?
32,'2021/03/11 15:15:04:691',3,0.001672,0.013016,-0.007609,0.007302,-0.01341,0.325017,-0.003647,-0.015833,0.815186,?,?,?,?,?
33,'2021/03/11 15:15:04:726',3,-0.016762,0.027641,-0.007438,-0.001513,-0.019473,0.121382,-0.00364,-0.016579,0.825061,?,?,?,?,?
34,'2021/03/11 15:15:04:762',3,-0.001594,-0.001019,-0.001969,-0.000955,-0.005557,-0.003107,-0.003735,-0.017114,0.825858,?,?,?,?,?
